Epoch: 1, Train loss: 1.0660, Train Acc: 0.4410, Val loss: 1.1318, Val Acc: 0.4356, Time: 2.4min (2.4 min/epoch)
Epoch: 2, Train loss: 0.9466, Train Acc: 0.5039, Val loss: 0.8818, Val Acc: 0.5491, Time: 4.7min (2.4 min/epoch)
	Save best checkpoint at epoch 2
Epoch: 3, Train loss: 0.8658, Train Acc: 0.5701, Val loss: 0.8389, Val Acc: 0.6258, Time: 7.1min (2.4 min/epoch)
	Save best checkpoint at epoch 3
Epoch: 4, Train loss: 0.6992, Train Acc: 0.6868, Val loss: 0.7713, Val Acc: 0.6656, Time: 9.5min (2.4 min/epoch)
	Save best checkpoint at epoch 4
Epoch: 5, Train loss: 0.4889, Train Acc: 0.7923, Val loss: 0.5673, Val Acc: 0.7669, Time: 11.9min (2.4 min/epoch)
	Save best checkpoint at epoch 5
Epoch: 6, Train loss: 0.3167, Train Acc: 0.8807, Val loss: 0.8930, Val Acc: 0.7239, Time: 14.2min (2.4 min/epoch)
Epoch: 7, Train loss: 0.2062, Train Acc: 0.9318, Val loss: 0.3804, Val Acc: 0.8773, Time: 16.6min (2.4 min/epoch)
	Save best checkpoint at epoch 7
Epoch: 8, Train loss: 0.1380, Train Acc: 0.9522, Val loss: 0.4089, Val Acc: 0.9018, Time: 19.0min (2.4 min/epoch)
Epoch: 9, Train loss: 0.1079, Train Acc: 0.9620, Val loss: 0.6311, Val Acc: 0.8558, Time: 21.4min (2.4 min/epoch)
Epoch: 10, Train loss: 0.1137, Train Acc: 0.9607, Val loss: 0.2593, Val Acc: 0.9202, Time: 23.7min (2.4 min/epoch)
	Save best checkpoint at epoch 10
Epoch: 11, Train loss: 0.0198, Train Acc: 0.9948, Val loss: 0.2727, Val Acc: 0.9356, Time: 26.1min (2.4 min/epoch)
Epoch: 12, Train loss: 0.0444, Train Acc: 0.9823, Val loss: 0.3438, Val Acc: 0.9202, Time: 28.5min (2.4 min/epoch)
Epoch: 13, Train loss: 0.0394, Train Acc: 0.9830, Val loss: 0.3734, Val Acc: 0.9233, Time: 30.8min (2.4 min/epoch)
Epoch: 14, Train loss: 0.0110, Train Acc: 0.9961, Val loss: 0.4532, Val Acc: 0.9080, Time: 33.2min (2.4 min/epoch)
Epoch: 15, Train loss: 0.0498, Train Acc: 0.9862, Val loss: 0.3769, Val Acc: 0.9264, Time: 35.6min (2.4 min/epoch)
Epoch: 16, Train loss: 0.0331, Train Acc: 0.9895, Val loss: 0.9959, Val Acc: 0.8282, Time: 38.0min (2.4 min/epoch)
Epoch: 17, Train loss: 0.0340, Train Acc: 0.9889, Val loss: 0.3187, Val Acc: 0.9479, Time: 40.3min (2.4 min/epoch)
Epoch: 18, Train loss: 0.0240, Train Acc: 0.9948, Val loss: 0.8157, Val Acc: 0.8712, Time: 42.7min (2.4 min/epoch)
Epoch: 19, Train loss: 0.0342, Train Acc: 0.9869, Val loss: 0.2582, Val Acc: 0.9264, Time: 45.1min (2.4 min/epoch)
	Save best checkpoint at epoch 19
Epoch: 20, Train loss: 0.0057, Train Acc: 0.9980, Val loss: 0.3388, Val Acc: 0.9387, Time: 47.5min (2.4 min/epoch)
Epoch: 21, Train loss: 0.0005, Train Acc: 1.0000, Val loss: 0.3242, Val Acc: 0.9356, Time: 49.9min (2.4 min/epoch)
Epoch: 22, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.3579, Val Acc: 0.9479, Time: 52.3min (2.4 min/epoch)
Epoch: 23, Train loss: 0.0263, Train Acc: 0.9915, Val loss: 0.5378, Val Acc: 0.8926, Time: 54.6min (2.4 min/epoch)
Epoch: 24, Train loss: 0.0146, Train Acc: 0.9954, Val loss: 0.3176, Val Acc: 0.9356, Time: 57.0min (2.4 min/epoch)
Epoch: 25, Train loss: 0.0082, Train Acc: 0.9980, Val loss: 0.4044, Val Acc: 0.9448, Time: 59.4min (2.4 min/epoch)
Epoch: 26, Train loss: 0.0221, Train Acc: 0.9934, Val loss: 0.4515, Val Acc: 0.9080, Time: 61.8min (2.4 min/epoch)
Epoch: 27, Train loss: 0.0063, Train Acc: 0.9980, Val loss: 0.2647, Val Acc: 0.9479, Time: 64.2min (2.4 min/epoch)
Epoch: 28, Train loss: 0.0250, Train Acc: 0.9915, Val loss: 0.2493, Val Acc: 0.9509, Time: 66.6min (2.4 min/epoch)
	Save best checkpoint at epoch 28
Epoch: 29, Train loss: 0.0006, Train Acc: 1.0000, Val loss: 0.2235, Val Acc: 0.9571, Time: 68.9min (2.4 min/epoch)
	Save best checkpoint at epoch 29
Epoch: 30, Train loss: 0.0003, Train Acc: 1.0000, Val loss: 0.2276, Val Acc: 0.9632, Time: 71.3min (2.4 min/epoch)
Epoch: 31, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2306, Val Acc: 0.9632, Time: 73.7min (2.4 min/epoch)
Epoch: 32, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2384, Val Acc: 0.9601, Time: 76.1min (2.4 min/epoch)
Epoch: 33, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2509, Val Acc: 0.9632, Time: 78.5min (2.4 min/epoch)
Epoch: 34, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2445, Val Acc: 0.9632, Time: 80.8min (2.4 min/epoch)
Epoch: 35, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2565, Val Acc: 0.9663, Time: 83.2min (2.4 min/epoch)
Epoch: 36, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2723, Val Acc: 0.9571, Time: 85.6min (2.4 min/epoch)
Epoch: 37, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2669, Val Acc: 0.9601, Time: 87.9min (2.4 min/epoch)
Epoch: 38, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2620, Val Acc: 0.9663, Time: 90.3min (2.4 min/epoch)
Epoch: 39, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2714, Val Acc: 0.9663, Time: 92.6min (2.4 min/epoch)
Epoch: 40, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2890, Val Acc: 0.9601, Time: 95.0min (2.4 min/epoch)
Epoch: 41, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2963, Val Acc: 0.9571, Time: 97.4min (2.4 min/epoch)
Epoch: 42, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3203, Val Acc: 0.9601, Time: 99.7min (2.4 min/epoch)
Epoch: 43, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.4220, Val Acc: 0.9448, Time: 102.1min (2.4 min/epoch)
Epoch: 44, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3540, Val Acc: 0.9540, Time: 104.4min (2.4 min/epoch)
Epoch: 45, Train loss: 0.0363, Train Acc: 0.9902, Val loss: 0.3704, Val Acc: 0.9479, Time: 106.8min (2.4 min/epoch)
Epoch: 46, Train loss: 0.0069, Train Acc: 0.9987, Val loss: 0.2757, Val Acc: 0.9540, Time: 109.2min (2.4 min/epoch)
Epoch: 47, Train loss: 0.0005, Train Acc: 1.0000, Val loss: 0.2764, Val Acc: 0.9601, Time: 111.6min (2.4 min/epoch)
Epoch: 48, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2619, Val Acc: 0.9601, Time: 113.9min (2.4 min/epoch)
Epoch: 49, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2985, Val Acc: 0.9448, Time: 116.3min (2.4 min/epoch)
Epoch: 50, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2546, Val Acc: 0.9632, Time: 118.7min (2.4 min/epoch)
Epoch: 51, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2546, Val Acc: 0.9571, Time: 121.1min (2.4 min/epoch)
Epoch: 52, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2635, Val Acc: 0.9601, Time: 123.4min (2.4 min/epoch)
Epoch: 53, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2562, Val Acc: 0.9571, Time: 125.8min (2.4 min/epoch)
Epoch: 54, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.2648, Val Acc: 0.9571, Time: 128.2min (2.4 min/epoch)
Epoch: 55, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2615, Val Acc: 0.9571, Time: 130.6min (2.4 min/epoch)
Epoch: 56, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3046, Val Acc: 0.9601, Time: 133.0min (2.4 min/epoch)
Epoch: 57, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2650, Val Acc: 0.9571, Time: 135.4min (2.4 min/epoch)
Epoch: 58, Train loss: 0.0053, Train Acc: 0.9987, Val loss: 0.3164, Val Acc: 0.9509, Time: 137.7min (2.4 min/epoch)
Epoch: 59, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.3396, Val Acc: 0.9601, Time: 140.1min (2.4 min/epoch)
Epoch: 60, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.2883, Val Acc: 0.9632, Time: 142.5min (2.4 min/epoch)
Epoch: 61, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2980, Val Acc: 0.9632, Time: 144.9min (2.4 min/epoch)
Epoch: 62, Train loss: 0.0023, Train Acc: 0.9987, Val loss: 0.2603, Val Acc: 0.9693, Time: 147.2min (2.4 min/epoch)
Epoch: 63, Train loss: 0.0022, Train Acc: 0.9987, Val loss: 0.4363, Val Acc: 0.9479, Time: 149.6min (2.4 min/epoch)
Epoch: 64, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.4064, Val Acc: 0.9479, Time: 152.0min (2.4 min/epoch)
Epoch: 65, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.4052, Val Acc: 0.9479, Time: 154.4min (2.4 min/epoch)
Epoch: 66, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.3631, Val Acc: 0.9540, Time: 156.8min (2.4 min/epoch)
Epoch: 67, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3460, Val Acc: 0.9571, Time: 159.2min (2.4 min/epoch)
Epoch: 68, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3455, Val Acc: 0.9571, Time: 161.6min (2.4 min/epoch)
Epoch: 69, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3211, Val Acc: 0.9571, Time: 164.0min (2.4 min/epoch)
Epoch: 70, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3213, Val Acc: 0.9540, Time: 166.3min (2.4 min/epoch)
Epoch: 71, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2891, Val Acc: 0.9540, Time: 168.7min (2.4 min/epoch)
Epoch: 72, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2822, Val Acc: 0.9540, Time: 171.1min (2.4 min/epoch)
Epoch: 73, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2713, Val Acc: 0.9571, Time: 173.4min (2.4 min/epoch)
Epoch: 74, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2512, Val Acc: 0.9663, Time: 175.8min (2.4 min/epoch)
Epoch: 75, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2582, Val Acc: 0.9601, Time: 178.2min (2.4 min/epoch)
Epoch: 76, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2463, Val Acc: 0.9663, Time: 180.5min (2.4 min/epoch)
Epoch: 77, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2797, Val Acc: 0.9632, Time: 182.9min (2.4 min/epoch)
Epoch: 78, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2752, Val Acc: 0.9601, Time: 185.3min (2.4 min/epoch)
Epoch: 79, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2329, Val Acc: 0.9755, Time: 187.7min (2.4 min/epoch)
Epoch: 80, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2382, Val Acc: 0.9785, Time: 190.0min (2.4 min/epoch)
Epoch: 81, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2373, Val Acc: 0.9755, Time: 192.4min (2.4 min/epoch)
Epoch: 82, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2566, Val Acc: 0.9663, Time: 194.8min (2.4 min/epoch)
Epoch: 83, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2507, Val Acc: 0.9755, Time: 197.2min (2.4 min/epoch)
Epoch: 84, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2519, Val Acc: 0.9693, Time: 199.5min (2.4 min/epoch)
Epoch: 85, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2552, Val Acc: 0.9693, Time: 201.9min (2.4 min/epoch)
Epoch: 86, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2927, Val Acc: 0.9693, Time: 204.3min (2.4 min/epoch)
Epoch: 87, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2952, Val Acc: 0.9693, Time: 206.7min (2.4 min/epoch)
Epoch: 88, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2865, Val Acc: 0.9724, Time: 209.0min (2.4 min/epoch)
Epoch: 89, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2525, Val Acc: 0.9693, Time: 211.4min (2.4 min/epoch)
Epoch: 90, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2479, Val Acc: 0.9755, Time: 213.8min (2.4 min/epoch)
Epoch: 91, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2693, Val Acc: 0.9693, Time: 216.2min (2.4 min/epoch)
Epoch: 92, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2754, Val Acc: 0.9693, Time: 218.6min (2.4 min/epoch)
Epoch: 93, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2611, Val Acc: 0.9693, Time: 220.9min (2.4 min/epoch)
Epoch: 94, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2795, Val Acc: 0.9693, Time: 223.3min (2.4 min/epoch)
Epoch: 95, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2981, Val Acc: 0.9663, Time: 225.7min (2.4 min/epoch)
Epoch: 96, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3007, Val Acc: 0.9632, Time: 228.1min (2.4 min/epoch)
Epoch: 97, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2550, Val Acc: 0.9755, Time: 230.4min (2.4 min/epoch)
Epoch: 98, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2942, Val Acc: 0.9724, Time: 232.8min (2.4 min/epoch)
Epoch: 99, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.2858, Val Acc: 0.9724, Time: 235.2min (2.4 min/epoch)
Epoch: 100, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.3072, Val Acc: 0.9632, Time: 237.6min (2.4 min/epoch)
