Epoch: 1, Train loss: 1.0577, Train Acc: 0.4364, Val loss: 1.0482, Val Acc: 0.4509, Time: 2.3min (2.3 min/epoch)
Epoch: 2, Train loss: 0.9766, Train Acc: 0.4764, Val loss: 0.9235, Val Acc: 0.5399, Time: 4.7min (2.3 min/epoch)
	Save best checkpoint at epoch 2
Epoch: 3, Train loss: 0.8348, Train Acc: 0.5682, Val loss: 0.7417, Val Acc: 0.6196, Time: 7.0min (2.3 min/epoch)
	Save best checkpoint at epoch 3
Epoch: 4, Train loss: 0.6672, Train Acc: 0.7031, Val loss: 0.9095, Val Acc: 0.6319, Time: 9.3min (2.3 min/epoch)
Epoch: 5, Train loss: 0.4677, Train Acc: 0.8041, Val loss: 0.4945, Val Acc: 0.7975, Time: 11.7min (2.3 min/epoch)
	Save best checkpoint at epoch 5
Epoch: 6, Train loss: 0.3008, Train Acc: 0.8755, Val loss: 0.9239, Val Acc: 0.7423, Time: 14.0min (2.3 min/epoch)
Epoch: 7, Train loss: 0.2339, Train Acc: 0.9161, Val loss: 0.6559, Val Acc: 0.8282, Time: 16.3min (2.3 min/epoch)
Epoch: 8, Train loss: 0.1447, Train Acc: 0.9430, Val loss: 0.7055, Val Acc: 0.8282, Time: 18.6min (2.3 min/epoch)
Epoch: 9, Train loss: 0.1349, Train Acc: 0.9502, Val loss: 0.7678, Val Acc: 0.7791, Time: 20.9min (2.3 min/epoch)
Epoch: 10, Train loss: 0.0780, Train Acc: 0.9784, Val loss: 0.5597, Val Acc: 0.8681, Time: 23.2min (2.3 min/epoch)
Epoch: 11, Train loss: 0.0392, Train Acc: 0.9875, Val loss: 0.5331, Val Acc: 0.8988, Time: 25.5min (2.3 min/epoch)
Epoch: 12, Train loss: 0.0450, Train Acc: 0.9843, Val loss: 0.4411, Val Acc: 0.9141, Time: 27.8min (2.3 min/epoch)
	Save best checkpoint at epoch 12
Epoch: 13, Train loss: 0.0622, Train Acc: 0.9810, Val loss: 1.8094, Val Acc: 0.7515, Time: 30.2min (2.3 min/epoch)
Epoch: 14, Train loss: 0.0107, Train Acc: 0.9954, Val loss: 0.6815, Val Acc: 0.8896, Time: 32.5min (2.3 min/epoch)
Epoch: 15, Train loss: 0.0575, Train Acc: 0.9784, Val loss: 0.4696, Val Acc: 0.9080, Time: 34.8min (2.3 min/epoch)
Epoch: 16, Train loss: 0.0092, Train Acc: 0.9980, Val loss: 0.6256, Val Acc: 0.9080, Time: 37.1min (2.3 min/epoch)
Epoch: 17, Train loss: 0.0312, Train Acc: 0.9928, Val loss: 0.4718, Val Acc: 0.9141, Time: 39.4min (2.3 min/epoch)
Epoch: 18, Train loss: 0.0380, Train Acc: 0.9849, Val loss: 1.1078, Val Acc: 0.8497, Time: 41.8min (2.3 min/epoch)
Epoch: 19, Train loss: 0.0269, Train Acc: 0.9908, Val loss: 0.4183, Val Acc: 0.9233, Time: 44.1min (2.3 min/epoch)
	Save best checkpoint at epoch 19
Epoch: 20, Train loss: 0.0481, Train Acc: 0.9810, Val loss: 0.5444, Val Acc: 0.8896, Time: 46.4min (2.3 min/epoch)
Epoch: 21, Train loss: 0.0042, Train Acc: 0.9993, Val loss: 0.5374, Val Acc: 0.9049, Time: 48.8min (2.3 min/epoch)
Epoch: 22, Train loss: 0.0124, Train Acc: 0.9961, Val loss: 0.7173, Val Acc: 0.8957, Time: 51.0min (2.3 min/epoch)
Epoch: 23, Train loss: 0.0192, Train Acc: 0.9921, Val loss: 0.7383, Val Acc: 0.8804, Time: 53.3min (2.3 min/epoch)
Epoch: 24, Train loss: 0.0236, Train Acc: 0.9902, Val loss: 0.6757, Val Acc: 0.8896, Time: 55.7min (2.3 min/epoch)
Epoch: 25, Train loss: 0.0213, Train Acc: 0.9961, Val loss: 0.4607, Val Acc: 0.9141, Time: 58.0min (2.3 min/epoch)
Epoch: 26, Train loss: 0.0025, Train Acc: 1.0000, Val loss: 0.4539, Val Acc: 0.9110, Time: 60.4min (2.3 min/epoch)
Epoch: 27, Train loss: 0.0004, Train Acc: 1.0000, Val loss: 0.5039, Val Acc: 0.9141, Time: 62.7min (2.3 min/epoch)
Epoch: 28, Train loss: 0.0002, Train Acc: 1.0000, Val loss: 0.4819, Val Acc: 0.9264, Time: 65.0min (2.3 min/epoch)
Epoch: 29, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.4934, Val Acc: 0.9294, Time: 67.4min (2.3 min/epoch)
Epoch: 30, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.4892, Val Acc: 0.9233, Time: 69.7min (2.3 min/epoch)
Epoch: 31, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5175, Val Acc: 0.9233, Time: 72.0min (2.3 min/epoch)
Epoch: 32, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5267, Val Acc: 0.9202, Time: 74.4min (2.3 min/epoch)
Epoch: 33, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.4790, Val Acc: 0.9264, Time: 76.7min (2.3 min/epoch)
Epoch: 34, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6397, Val Acc: 0.9202, Time: 79.1min (2.3 min/epoch)
Epoch: 35, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5296, Val Acc: 0.9233, Time: 81.4min (2.3 min/epoch)
Epoch: 36, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5699, Val Acc: 0.9233, Time: 83.7min (2.3 min/epoch)
Epoch: 37, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5546, Val Acc: 0.9233, Time: 86.1min (2.3 min/epoch)
Epoch: 38, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5909, Val Acc: 0.9264, Time: 88.4min (2.3 min/epoch)
Epoch: 39, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6033, Val Acc: 0.9264, Time: 90.7min (2.3 min/epoch)
Epoch: 40, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6479, Val Acc: 0.9325, Time: 93.0min (2.3 min/epoch)
Epoch: 41, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6486, Val Acc: 0.9325, Time: 95.4min (2.3 min/epoch)
Epoch: 42, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6377, Val Acc: 0.9294, Time: 97.8min (2.3 min/epoch)
Epoch: 43, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6040, Val Acc: 0.9325, Time: 100.2min (2.3 min/epoch)
Epoch: 44, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6101, Val Acc: 0.9294, Time: 102.5min (2.3 min/epoch)
Epoch: 45, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6314, Val Acc: 0.9294, Time: 104.8min (2.3 min/epoch)
Epoch: 46, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6333, Val Acc: 0.9294, Time: 107.2min (2.3 min/epoch)
Epoch: 47, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.8199, Val Acc: 0.9172, Time: 109.5min (2.3 min/epoch)
Epoch: 48, Train loss: 0.0386, Train Acc: 0.9902, Val loss: 0.9821, Val Acc: 0.8773, Time: 111.9min (2.3 min/epoch)
Epoch: 49, Train loss: 0.0006, Train Acc: 1.0000, Val loss: 0.7223, Val Acc: 0.9080, Time: 114.2min (2.3 min/epoch)
Epoch: 50, Train loss: 0.0008, Train Acc: 1.0000, Val loss: 0.6269, Val Acc: 0.9294, Time: 116.6min (2.3 min/epoch)
Epoch: 51, Train loss: 0.0010, Train Acc: 0.9993, Val loss: 0.6427, Val Acc: 0.9294, Time: 118.9min (2.3 min/epoch)
Epoch: 52, Train loss: 0.0003, Train Acc: 1.0000, Val loss: 0.7118, Val Acc: 0.9141, Time: 121.3min (2.3 min/epoch)
Epoch: 53, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.7026, Val Acc: 0.9172, Time: 123.7min (2.3 min/epoch)
Epoch: 54, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.7213, Val Acc: 0.9172, Time: 126.0min (2.3 min/epoch)
Epoch: 55, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.7529, Val Acc: 0.9202, Time: 128.4min (2.3 min/epoch)
Epoch: 56, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.7972, Val Acc: 0.9080, Time: 130.7min (2.3 min/epoch)
Epoch: 57, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.8195, Val Acc: 0.9049, Time: 133.1min (2.3 min/epoch)
Epoch: 58, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.7758, Val Acc: 0.9080, Time: 135.5min (2.3 min/epoch)
Epoch: 59, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.7190, Val Acc: 0.9110, Time: 137.7min (2.3 min/epoch)
Epoch: 60, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6459, Val Acc: 0.9325, Time: 140.1min (2.3 min/epoch)
Epoch: 61, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.8013, Val Acc: 0.9110, Time: 142.4min (2.3 min/epoch)
Epoch: 62, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.7774, Val Acc: 0.9141, Time: 144.7min (2.3 min/epoch)
Epoch: 63, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6437, Val Acc: 0.9325, Time: 147.1min (2.3 min/epoch)
Epoch: 64, Train loss: 0.0004, Train Acc: 1.0000, Val loss: 1.0355, Val Acc: 0.8865, Time: 149.4min (2.3 min/epoch)
Epoch: 65, Train loss: 0.0175, Train Acc: 0.9974, Val loss: 0.5525, Val Acc: 0.9356, Time: 151.8min (2.3 min/epoch)
Epoch: 66, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.5755, Val Acc: 0.9325, Time: 154.2min (2.3 min/epoch)
Epoch: 67, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.5197, Val Acc: 0.9356, Time: 156.5min (2.3 min/epoch)
Epoch: 68, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.5420, Val Acc: 0.9356, Time: 158.9min (2.3 min/epoch)
Epoch: 69, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.6087, Val Acc: 0.9325, Time: 161.2min (2.3 min/epoch)
Epoch: 70, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6484, Val Acc: 0.9356, Time: 163.6min (2.3 min/epoch)
Epoch: 71, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6115, Val Acc: 0.9356, Time: 165.9min (2.3 min/epoch)
Epoch: 72, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5920, Val Acc: 0.9356, Time: 168.3min (2.3 min/epoch)
Epoch: 73, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.5889, Val Acc: 0.9325, Time: 170.6min (2.3 min/epoch)
Epoch: 74, Train loss: 0.0028, Train Acc: 0.9987, Val loss: 0.8771, Val Acc: 0.9202, Time: 173.0min (2.3 min/epoch)
Epoch: 75, Train loss: 0.0003, Train Acc: 1.0000, Val loss: 0.7238, Val Acc: 0.9294, Time: 175.3min (2.3 min/epoch)
Epoch: 76, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6788, Val Acc: 0.9325, Time: 177.7min (2.3 min/epoch)
Epoch: 77, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.5740, Val Acc: 0.9417, Time: 180.0min (2.3 min/epoch)
Epoch: 78, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.6444, Val Acc: 0.9417, Time: 182.3min (2.3 min/epoch)
Epoch: 79, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6614, Val Acc: 0.9417, Time: 184.6min (2.3 min/epoch)
Epoch: 80, Train loss: 0.0001, Train Acc: 1.0000, Val loss: 0.6860, Val Acc: 0.9294, Time: 187.0min (2.3 min/epoch)
Epoch: 81, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6899, Val Acc: 0.9294, Time: 189.3min (2.3 min/epoch)
Epoch: 82, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6682, Val Acc: 0.9356, Time: 191.6min (2.3 min/epoch)
Epoch: 83, Train loss: 0.0000, Train Acc: 1.0000, Val loss: 0.6815, Val Acc: 0.9294, Time: 194.0min (2.3 min/epoch)
